Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Бевз,Єва,Юстимівна,жінка,1956-09-28,Психолог,місто Прилуки,"вулиця Лазурний 6-й, буд. 8 кв. 625, Кам'янець-Подільський, 02175",726-10-67,larysa78@example.net
Ґоляш,Камілла,Мирославівна,жінка,1938-12-23,Менеджер,хутір Сімферополь,"вулиця Флотський 3-й, буд. 952, Конотоп, 86736",622 33 37,pvernydub@example.net
Бабʼюк,Вадим,Азарович,чоловік,1997-01-26,Водій,хутір Вільнянськ,"узвіз Мічманський 2-й, буд. 522, Харцизьк, 67927",095 823 74 24,andreikovolodymyra@example.com
Охримович,Еріка,Орестівна,жінка,1953-01-29,Державний службовець,хутір Бершадь,"шосе Богуна, буд. 64, Луганськ, 77629",092-28-89,zakusyloihnat@example.net
Хорішко,Валентин,Азарович,чоловік,1996-04-06,Електромонтажник,хутір Березівка,"площа Миколаївська дорога, буд. 03, Корсунь-Шевченківський, 39341",325 41 97,rvyshyvana@example.com
Терещук,Гліб,Йосипович,чоловік,2005-11-24,Ювелір,село Кропивницький,"вулиця Ткачова, буд. 62 кв. 61, Феодосія, 12166",+380 98 748-28-95,kzasiadko@example.org
Баранник,Альберт,Вікторович,чоловік,1958-01-23,Перекладач,село Оріхів,"шосе Олександра Блока, буд. 5 кв. 2, Лиман , 34999",+380 (22) 663-19-96,solomiiavakhnii@example.net
Саєнко,Мілена,Дмитріївна,жінка,1996-05-10,Ґрунтознавець,село Суми,"площа Весняна, буд. 691, Умань, 74294",+380 (10) 307-68-41,huzpavlo@example.com
Пилипенко,Алла,Соломонівна,жінка,1963-09-23,Локсмайстер,хутір Нововолинськ,"проспект Сєченова, буд. 32 кв. 212, Радивилів, 26285",634 91 27,halyna97@example.net
Скоробогатько,Спас,Борисович,чоловік,1947-05-23,Географ,місто Ковель,"проспект Нафтовиків 2-й, буд. 9 кв. 06, Часів Яр, 83263",+380 22 727-63-57,antonartiushenko@example.net
Мазепа,Соломія,Остапівна,жінка,1961-12-11,Сценарист,селище Калуш,"площа Обільна, буд. 427 кв. 327, Бердичів, 16436",394 73 84,leonievtushok@example.org
Лесик,Пилип,Арсенович,чоловік,1949-02-19,Няня,місто Кам'янка-Бузька,"шосе Чубаївський, буд. 312, Добропілля, 19631",+380 (41) 638-14-75,dubenkosemen@example.org
Кащенко,Назар,Трохимович,чоловік,1948-08-30,Географ,село Вишгород,"парк Преображенська, буд. 29 кв. 1, Довжанськ, 21145",+380 74 342-04-30,nchervonenko@example.com
Тесленко,Юстим,Яремович,чоловік,1974-08-16,Публіцист,село Полонне,"парк Будівельна, буд. 25 кв. 02, Дніпро , 55095",000 247-43-55,chrechanyk@example.net
Гайденко,Соломія,Марківна,жінка,1944-08-30,Клоун,селище Середина-Буда,"провулок Сливова, буд. 7, Косів, 32613",+380 (51) 648-20-60,sviatoslav83@example.net
Шутько,Тетяна,Теодорівна,жінка,1990-04-28,Бібліотекар,село Кам'янське,"вулиця Парковий, буд. 9 кв. 393, Шумськ, 23714",+380 39 904-53-67,aaronshmorhun@example.com
Їжакевич,Віра,Азарівна,жінка,1975-06-27,Мовознавець,село Торецьк,"набережна Поштова, буд. 520 кв. 602, Острог, 79416",+380 22 501-04-06,uvdovychenko@example.net
Деркач,Вадим,Макарович,чоловік,1955-11-04,Медик,село Зугрес,"проспект Скляний 2-й, буд. 5 кв. 5, Новоукраїнка, 44876",410-92-98,fedir57@example.com
Дейнеко,Леонтій,Симонович,чоловік,1970-02-24,Електрик,хутір Курахове,"шосе Висоцького, буд. 0 кв. 402, Зеленодольськ, 24987",826 59 34,dmytro45@example.org
Конопля,Прохір,Зиновійович,чоловік,1960-07-22,Доцент,хутір Кальміуське,"парк Дунаєвського 2-й, буд. 803, Федорівка, 94575",+380 24 337 09 63,drobiazkosviatoslav@example.org
Шухевич,Антон,Пилипович,чоловік,1958-11-12,Різноробочий,село Вашківці,"площа Трудових резервів, буд. 35 кв. 136, Голубівка, 52286",+380 81 013-62-75,mchornovil@example.net
Гавриленко,Леонтій,Микитович,чоловік,1965-05-27,Кінорежисер,село Бобровиця,"площа Лиманчик 2-й Лінія 4-та, буд. 817, Костянтинівка, 08224",016 725 41 65,iefremieremenko@example.com
Редько,Демʼян,Устимович,чоловік,1954-03-09,Золотар,місто Ямпіль,"сквер Артилерійський 2-й, буд. 2, Жовква, 28995",041 075-23-32,huziifrants@example.com
Рябовіл,Стефан,Стефанович,чоловік,1974-01-04,Будник,хутір Кам'янка-Дніпровська,"шосе Академіка Гаркавого, буд. 97 кв. 33, Кролевець, 73775",+380 43 137-20-32,gshvedchenko@example.com
Чумаченко,Ростислав,Гаврилович,чоловік,1975-09-09,Мистецтвознавець,хутір Кривий Ріг,"узвіз Лядова, буд. 75 кв. 166, Новоград-Волинський, 93883",+380 49 616 38 62,ozhadan@example.net
Тимченко,Богданна,Несторівна,жінка,1952-04-23,Дизайнер,хутір Красноград,"провулок Балтський 7-й, буд. 93, Нова Одеса, 79990",008 634-73-27,shtokaloonysym@example.org
Малишко,Федір,Святославович,чоловік,1946-01-27,Бібліограф,село Хрустальний,"сквер Амурська, буд. 36 кв. 0, Золоте, 96140",+380 84 007-79-77,andrusenkovasyl@example.com
Ващук,Олена,Опанасівна,жінка,2000-08-24,Геолог,хутір Благовіщенське,"вулиця Іванівський переїзд, буд. 181 кв. 7, Шаргород, 96765",001 382-47-23,vitalii69@example.net
Носенко,Феофан,Азарович,чоловік,1992-11-12,Слідчий,місто Часів Яр,"вулиця Мечникова, буд. 345 кв. 2, Зугрес, 54080",+380 50 510-09-33,aaleksiichuk@example.org
Дуплій,Єва,Аврелійовна,жінка,1998-10-22,Модель,селище Буринь,"шосе Ванцетті, буд. 84 кв. 0, Шаргород, 69418",266 06 86,uvakarchuk@example.com
Верхола,Світлана,Мартинівна,жінка,1956-08-17,Електромонтажник,село Стебник,"парк Героїв Крут, буд. 41, Сміла, 36869",162-83-81,nadiialubenets@example.net
Михайличенко,Федір,Мирославович,чоловік,1996-10-08,Педагог,місто Могилів-Подільський,"шосе Лінія 35-та, буд. 92 кв. 697, Синельникове, 06335",538-25-81,volodymyra74@example.com
Ватаманюк,Кирило,Васильович,чоловік,1989-03-23,Стиліст,місто Мена ,"площа Дальній, буд. 259, Вільнянськ, 08157",+380 05 861-97-41,ruslanteslia@example.net
Вернигора,Ада,Азарівна,жінка,1976-06-16,Петрограф,місто Білозерське,"узвіз Слобідський узвіз, буд. 2, Маріуполь, 02947",+380 72 300-78-61,lukiantkachenko@example.com
Жадан,Зорян,Святославович,чоловік,2002-05-11,Фермер,хутір Ворожба,"вулиця Казанська, буд. 3, Молочанськ, 21884",049 318-94-25,mierchenko@example.com
Ніколюк,Людмила,Дмитріївна,жінка,1969-02-07,Перекладач,село Селидове,"вулиця Щоглова, буд. 922 кв. 717, Рубіжне, 94148",+380 11 267 11 14,devdiukspas@example.org
Даниленко,Лілія,Климентівна,жінка,2008-03-27,Секретар,село Шепетівка,"провулок Солонцюватий, буд. 91, Київ, 12813",083 091 26 65,svyrydenkohryhorii@example.com
Твердохліб,Панас,Арсенович,чоловік,2002-05-12,Дерун,село Олександрівськ,"сквер Рішельєвська, буд. 733 кв. 8, Соледар, 18679",042 367 17 83,eokhrymovych@example.org
Короленко,Герман,Давидович,чоловік,1939-12-13,Диригент,селище Бучач,"набережна Ремонтна, буд. 236 кв. 85, Стрий, 72940",+380 33 897-00-52,wkolodub@example.org
